91,7,280,10/2013,50,09/2015,10/2015,13,2,13,28
92,7,280,10/2014,50,09/2016,09/2016,0,0,0,22
93,7,163,03/2009,20,01/2013,03/2013,21,5,9,35
94,7,163,03/2014,25,02/2018,09/2017,0,0,0,19
95,7,163,10/2007,20,01/2012,10/2011,14,0,5,19
96,7,166,03/2009,20,01/2013,03/2013,0,0,13,13
97,7,166,10/2007,15,01/2012,10/2011,0,0,1,1
98,7,168,03/2009,20,01/2013,03/2013,10,2,11,23
99,7,168,10/2007,15,01/2012,10/2011,0,0,1,1
100,8,22,12/2008,60,08/2009,09/2009,1,0,1,2
101,8,24,05/2010,60,04/2011,11/2009,19,0,13,32
102,8,280,05/2014,30,04/2016,05/2016,0,0,0,3
103,8,280,10/2014,30,09/2016,09/2016,0,0,0,14
104,8,1221,11/2010,40,08/2011,10/2011,5,0,38,43
105,8,163,10/2007,20,01/2012,10/2011,13,0,8,21
106,8,166,03/2009,20,01/2013,02/2013,0,0,4,4
107,8,166,10/2007,15,01/2012,10/2011,0,0,2,2
108,8,167,03/2014,30,01/2019,09/2018,0,0,4,30
109,8,168,10/2007,15,01/2012,10/2011,3,1,6,10
110,9,21,06/2010,40,05/2011,11/2010,14,3,11,28
111,9,21,12/2009,30,11/2010,11/2009,28,0,14,42
112,9,21,12/2013,40,11/2014,02/2013,25,0,7,32
113,9,22,11/2009,60,07/2010,09/2010,36,0,5,41
114,9,22,12/2013,35,08/2014,11/2012,21,0,5,26
115,9,23,11/2009,30,07/2010,09/2010,10,0,3,13
116,9,24,03/2010,90,02/2011,09/2010,35,0,26,61
117,9,24,11/2012,90,10/2013,02/2013,63,0,27,90
118,9,24,12/2008,60,11/2009,11/2009,27,0,33,60
119,9,25,12/2012,60,08/2013,11/2012,15,0,11,26
120,9,264,07/2006,250,12/2010,12/2009,5,120,0,125
121,9,767,09/2009,100,12/2013,09/2013,31,8,68,107
122,9,767,10/2012,75,07/2016,08/2016,0,0,27,73
123,9,265,12/2009,50,05/2011,04/2012,0,51,1,52
124,9,1026,05/2011,100,10/2012,11/2012,0,247,0,247
125,9,1712,11/2014,30,04/2016,11/2015,0,0,7,30
126,9,1710,09/2014,30,06/2016,04/2016,0,0,0,44
127,9,32,02/2010,120,02/2014,12/2014,0,8,33,41
128,9,32,03/2009,50,02/2013,12/2013,3,4,44,51
129,9,32,04/2012,25,02/2016,08/2016,0,0,14,22
130,9,32,09/2007,50,12/2011,12/2011,6,5,48,60
131,9,32,09/2014,45,08/2018,08/2018,0,0,4,24
132,9,266,10/2009,60,09/2010,05/2010,32,0,27,59
