id_polo,uf_polo,municipio_polo,nome_polo,nome_fantasia,polo_logradouro,polo_numero,polo_bairro,polo_cep,polo_complemento
153,PE,Trindade,TRINDADE - CENTRO,POLO DA UNIVERSIDADE ABERTA DO BRASIL - TRINDADE-PE,Rua 29 de Janeiro,95,CENTRO,56250000, ao lado da Escola Paulo Guerra
154,PI,Agua Branca,AGUA BRANCA - CENTRO,POLO UAB - UNIVERSIDADE ABERTA DO PIAUI - AGUA BRANCA,"AV. JOSÉ MIGUEL,",,CENTRO,6446000,polo de apoio presencial da uab - água Branca - pi
156,PI,Buriti dos Lopes,BURITI DOS LOPES - COHAB,POLO DE APOIO PRESENCIAL JOSE FRANCA DA ROCHA - BURITI DOS LOPES - UAB,RUA PROFESSORA MARIA DA GLÓRIA ,s/n,COHAB,64230000, 
157,PI,Canto do Buriti,CANTO DO BURITI - AEROPORTO,POLO MANOEL MARQUES DE ARAUJO - CANTO DO BURITI -UAB,RUA RIO GRANDE DO NORTE,702,AEROPORTO,64890000, 
158,PI,Castelo do Piauí,CASTELO DO PIAUI - CENTRO,POLO DE APOIO PRESENCIAL TERRITORIO DAS CARNAUBAIS - CASTELO DO PIAUI - UAB,Rua Joaquim Távora,537,Centro,64340000,
159,PI,Elesbão Veloso,ELESBAO VELOSO - CAPITAO MUNDOCO,POLO DE APOIO PRESENCIAL TERRITORIO VALE DO SAMBITO - ELESBAO VELOSO,PRAÇA PADRE JOSÉ PAULO DO RÊGO ,,CAPITÃO MUNDOCO,64325000,U.E. JOANA NONATA DA SILVA
160,PI,Esperantina,ESPERANTINA - CENTRO,POLO DE APOIO PRESENCIAL DA UAB EM ESPERANTINA - UAB,Av. Ministro Petrônio Portela,1957,Centro,64180000, 
161,PI,Floriano,FLORIANO - MELADAO,POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL- FLORIANO-PI,"BR 343 KM 3,5",,MELADÃO,64800000,CAMPUS AMÍLCAR FERREIRA SOBRAL - CAFS
162,PI,Gilbués,GILBUES - SANTO ANTONIO,POLO CHAPADA DAS MANGABEIRA - GILBUES - UAB,AV. JOÃO DIAS FIGUEIREDO,,SANTO ANTONIO,64930000,RUA DO ESTÁDIO MUNICIPAL (ANTIGO PRÉDIO DO INSTITUTO DESERT)
163,PI,Inhuma,INHUMA - LIBERDADE,POLO LUIZ DE SOUSA LEAL - INHUMA - UAB,RUA JOÃO GONÇALVES DE HOLANDA,212,LIBERDADE,64535000, 
164,PI,Piracuruca,PIRACURUCA - CENTRO,POLO TERRITORIO DOS COCAIS - PIRACURUCA - UAB,RUA TENENTE RUI BRITO,1430,CENTRO,64240000,U.E. MAGALHÃES FILHO
165,PI,São João do Piauí,SAO JOAO DO PIAUI - CENTRO,POLO DE APOIO PRESENCIAL DA UAB TERRITORIO SERRA DA CAPIVARA - SAO JOAO DO PIAUI,PRAÇA MANOEL ANTÔNIO DE SOUSA ,,CENTRO,64760000, praça do manuca ou praça da feira
166,PI,Simões,SIMOES - CENTRO,POLO TERRITORIO VALE DO RIO GUARIBAS - SIMOES - UAB,Rua Dom Expedito Lopes,s/n,centro,64585000,predio
167,PI,Simplício Mendes,SIMPLICIO MENDES - CENTRO,POLO DE APOIO PRESENCIAL UAB ANTONIO DE MOURA FE/ SIMPLICIO MENDES,RUA PIO SÉVIO,,CENTRO,64700000, 
168,PI,Uruçuí,URUCUI - MALVINAS,POLO TABULEIROS DO ALTO PARNAIBA - URUCUI - UAB,RUA ALMIR BENVINDO ,,MALVINAS,64860000, 
169,PR,Astorga,ASTORGA - VILA SAMUEL,POLO MUNICIPAL DE APOIO PRESENCIAL EAD-UAB-ASTORGA,Rua Paulo Tadaschi Satomi ,581,Vila Samuel,86730000,Escola Municipal Antenor Balarotti
170,PR,Cidade Gaúcha,CIDADE GAUCHA - RODOVIA,POLO UAB DE APOIO PRESENCIAL CIDADE GAUCHA - PR,Rodovia PR 482 - KM 45 ,,RODOVIA,87820000,UEM - CAMPUS DO ARENITO
171,PR,Cruzeiro do Oeste,CRUZEIRO DO OESTE - CENTRO,POLO REGIONAL DE APOIO PRESENCIAL DA UAB - CRUZEIRO DO OESTE,Avenida Palmas- Esquina com a rua Faxinal,220,Centro,87400000, 
172,PR,Foz do Iguaçu,FOZ DO IGUACU - PARQUE TECNOLOGICO ITAIPU,POLO UAB - FOZ DO IGUACU,AV. TANCREDO NEVES,6731,PARQUE TECNOLÓGICO ITAIPU,85856970,FUNDAÇÃO PARQUE TECNOLÓGICO ITAIPU -   BRASIL
173,PR,Ibaiti,IBAITI - S.JUDAS TADEU,POLO UAB - POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR A DISTANCIA DE IBAITI,RUA SÃO JUDAS TADEU,190,S.JUDAS TADEU,84900000,
174,PR,Nova Londrina,NOVA LONDRINA - CENTRO,POLO UAB _ POLO MUNICIPAL DE APOIO PRESENCIAL DE NOVA LONDRINA EM EAD - UAB,PRAÇA DA MATRIZ,238,CENTRO,87970000,"ESCOLA MUNIC """"ISOLDE JULIETA ANDREATTA - E. F. nº 241"
175,PR,Nova Tebas,NOVA TEBAS - CENTRO,POLO UAB EM NOVA TEBAS,Rua Alexandre Magno,783,centro,85250000,predio
176,PR,Paranaguá,PARANAGUA - JARDIM GUARAITUBA,POLO UAB -  POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR A DISTANCIA DE PARANAGUA,RUA CAPIBARIBE,s/nº,JARDIM GUARAITUBA,83209230, ESCOLA MUNICIPAL NASCIMENTO JUNIOR
177,PR,Paranavaí,PARANAVAI - JARDIM SANTOS DUMOND,POLO UAB  DE PARANAVAI,RUA BARÃO DO CERRO AZUL,210,JARDIM SANTOS DUMOND,87706030, 
178,PR,Pato Branco,PATO BRANCO - BORTOT,POLO REGIONAL DE ENSINO SUPERIOR DE PATO BRANCO - UAB,VIA DO CONHECIMENTO -  PRT 493  KM 01,1200,BORTOT ,85503390,EM FRENTE UTFPR - CAIXA POSTAL 133 - SAIDA PARA BOM SUCESSO DO SUL
179,PR,Siqueira Campos,SIQUEIRA CAMPOS - CENTRO,POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR DE SIQUEIRA CAMPOS - UAB,Rua Paraná,2095,Centro,84940000,
180,RJ,Angra dos Reis,ANGRA DOS REIS - JACUECANGA,POLO UAB - ANGRA DOS REIS,Avenida dos Trabalhadores,179,Jacuecanga,23914360,
181,RJ,Bom Jesus do Itabapoana,BOM JESUS DO ITABAPOANA - CENTRO,POLO UAB - BOM JESUS DO ITABAPOANA,AV ROBERTO SILVEIRA,578,CENTRO,28360000,Colégio Estadual Padre Melo
182,RJ,Cantagalo,CANTAGALO - CENTRO,POLO UAB - CANTAGALO,Rua Chapot Prevost,157,Centro,28500000,
184,RJ,Itaocara,ITAOCARA - CENTRO,POLO UAB - ITAOCARA,Rua Nilo Peçanha,471,Centro,28570000,
185,RJ,Itaperuna,ITAPERUNA - PRESIDENTE COSTA E SILVA,POLO UAB - ITAPERUNA,Av. Zulamith Bittencourt - 3º pavimento,s/nº,Presidente Costa e Silva,28300000,CIEP LINA BOBARDI
186,RJ,Macaé,MACAE - IMBOACICA,POLO UAB - MACAE,"Rodovia Amaral Peixoto, km 164",s/n,Imboacica,27973030,Prédio do IFF - Campus Macaé
187,RJ,Miguel Pereira,MIGUEL PEREIRA - GOVERNADOR PORTELA,POLO UAB - MIGUEL PEREIRA,Rua Luis Eugênio,61,Governador Portela,26910000,
188,RJ,Natividade,NATIVIDADE - CENTRO,POLO UAB - NATIVIDADE,RUA VIGÁRIO JOÃO BATISTA,3,CENTRO,28380000,
189,RJ,Nova Friburgo,NOVA FRIBURGO - OLARIA,POLO UAB - NOVA FRIBURGO,Av. José Pires Barroso,s/n,Olaria,28620000,CIEP 124 Licínio Teixeira
190,RJ,Paracambi,PARACAMBI - FABRICA,POLO UAB - PARACAMBI,Rua Sebastião de Lacerda,s/n,Fábrica,26600000,
191,RJ,Petrópolis,PETROPOLIS - QUITANDINHA,POLO UAB - PETROPOLIS,"RUA DOMINGOS SILVERIO, s/n",,QUITANDINHA,25650050, 
192,RJ,Piraí,PIRAI - CENTRO,POLO UAB - PIRAI,RUA ROBERTO SILVEIRA,86,CENTRO,27175000, 
194,RJ,Resende,RESENDE - CENTRO,POLO UAB - RESENDE/RJ - PROF  WALDA VALKYRIA BRUNO,"RUA PADRE MARQUES,",68,CENTRO,27511100," 2º, 3º, 4 e 5º ANDAR"
195,RJ,Rio Bonito,RIO BONITO - PRACA DO CRUZEIRO,POLO UAB - RIO BONITO,"BR 101 (SENTIDO RIO), KM 265",,PRAÇA DO CRUZEIRO,28800000, Colégio Municipal Dr. Astério Alves de Mendonça
196,RJ,Rio de Janeiro,RIO DE JANEIRO - CAMPO GRANDE,POLO UAB - CAMPO GRANDE,"AV. MANUEL CALDEIRA DE ALVARENGA,",1203,CAMPO GRANDE,23070200, 2º ANDAR
197,RJ,Santa Maria Madalena,SANTA MARIA MADALENA - CENTRO,POLO UAB - SANTA MARIA MADALENA,Rua Honório Dubois s/n ,,Centro,28770000, CIEP 273 - Prof. Graciano C.Filho
198,RJ,São Fidélis,SAO FIDELIS - DIRLEY PERLINGEIRO DE ABREU,POLO UAB - SAO FIDELIS,Rua:Elysio da Costa Santos,s/nº,Dirley Perlingeiro de Abreu,28400000,CIEP
199,RJ,São Francisco de Itabapoana,SAO FRANCISCO DE ITABAPOANA - CENTRO,POLO UAB - SAO FRANCISCO DE ITABAPOANA,Rua Antônio Pinheiro Filho,2,Centro,28230000,
200,RJ,São Gonçalo,SAO GONCALO - GRADIM,POLO UAB - SAO GONCALO,Rua Visconde de Itauna s/n,s/nº,Gradim,24431005,CIEP 250 - Rosendo Rica Marcos
202,RJ,São Pedro da Aldeia,SAO PEDRO DA ALDEIA - NOVA SAO PEDRO DA ALDEIA,POLO UAB - SAO PEDRO DA ALDEIA,Rua A ,s/n,Nova São Pedro da Aldeia,28940970,
203,RJ,Saquarema,SAQUAREMA - RIO DE AREIA,POLO UAB - SAQUAREMA,RUA ANTONIO FERREIRA,110,Rio de Areia,28289000,2º Andar da Escola Municipal Edilson Vignoli Martins
204,RJ,Três Rios,TRES RIOS - CENTRO,POLO UAB - TRES RIOS,RUA MARECHAL DEODORO,117,CENTRO,25802220,ESCOLA MUNICIPAL WALTER FRANKLIN
205,RJ,Volta Redonda,VOLTA REDONDA - JARDIM PARAIBA,POLO UAB - VOLTA REDONDA,Rua 539,s/nº,Jardim Paraíba,27215500,Andar Inferior do Estadio Municipal Raulino de Oliveira
207,RN,Extremoz,EXTREMOZ - CENTRO,POLO UNIVERSIDADE DE EXTREMOZ DARCY RIBEIRO - EXTREMOZ - UAB,"RUA PROJETADA, LOTEAMENTO ÁUREA DE GÓIS",,CENTRO,59575000, 
208,RN,Guamaré,GUAMARE - CENTRO,POLO PRESENCIAL DE GUAMARE - RN,"Rua, Monsenhor Jose Tibúrcio",S/N,Centro,59598000,
209,RN,Luís Gomes,LUIS GOMES - CENTRO,POLO UNIVERSITARIO DE LUIS GOMES,AVENIDA SENHORA SANTANA,17,CENTRO,59940000, no prédio do Colégio Municipal Padre Osvaldo
210,RN,Martins,MARTINS - CENTRO,POLO UAB- MARTINS/RN,RUA DESEMBARGADOR HEMETÉRIO ,S/N,CENTRO,59800000,VIZINHO A CÂMARA MUNICIPAL
211,RO,Ariquemes,ARIQUEMES - SETOR INSTITUCIONAL,CENTRO DE EDUCACAO A DISTANCIA DE ARIQUEMES - POLO DE APOIO PRESENCIAL UAB  ,AVENIDA TANCREDO NEVES,3450,SETOR INSTITUCIONAL,76872862,CAMPUS DE ARIQUEMES - UNIVERSIDADE FEDERAL DE RONDÔNIA
212,RO,Chupinguaia,CHUPINGUAIA - CENTRO,POLO UAB - CHUPINGUAIA,RUA SILVANA GONÇALVES ,1492,CENTRO,76990000, 
213,RO,Ji-Paraná,JI-PARANA - JARDIM DOS MIGRANTES,POLO UAB - JI-PARANA,Rua Rio Amazonas,351,Jardim dos Migrantes,76900726,Edifício Universidade Federal de Rondônia
214,RO,Rolim de Moura,ROLIM DE MOURA - CIDADE ALTA,CENTRO DE FORMACAO TECNOLOGICO DA ZONA DA MATA ANCILA ANA TONATTO - UAB,"Av. Cecilia Meireles, esq. rua L",5656,Cidade Alta,76940000,
215,RR,Alto Alegre,ALTO ALEGRE - CENTRO,POLO UAB - ALTO ALEGRE,AV. 1 DE JULHO,N/nº,CENTRO,69350000,Estadio de Futebol
216,RR,Amajari,AMAJARI - CENTRO,POLO UAB - AMAJARI,AV. TEPEQUÉM,S/N,CENTRO,69343000,ESCOLA ESTADUAL OVÍDIO DIAS DE SOUZA
217,RR,Boa Vista,BOA VISTA - PRICUMA,POLO UAB - BOA VISTA,ALAMEDA DOS BAMBUS,525,PRICUMÃ,69309395,UNIVERSIDADE VIRTUAL DE RORAIMA
218,RR,Bonfim,BONFIM - CENTRO,UNIVIRR - BONFIM - UAB,RUA CASTRO ALVES ,,CENTRO,69380000,ESCOLA ESTADUAL ALDÉBARO JOSÉ ALCÂNTARA
220,RR,Caracaraí,CARACARAI - CENTRO,POLO UAB - CARACARAI,RUA JAPURA,S/N,Centro,69360000,
221,RR,Caroebe,CAROEBE - CENTRO,CM_CAROEBE (CENTRO MULTIMIDIA CAROEBE ) - UAB,AV. PAULINO GOMES DA COSTA,12,CENTRO,69378000, Escola Estadual Dom Pedro I
222,RR,Iracema,IRACEMA - CENTRO,POLO UAB - IRACEMA,Avenida Isidorio Rodrigues,s/n,centro,69348000,
225,RR,Pacaraima,PACARAIMA - SUAPI,POLO UAB - PACARAIMA/RR,RUA 01,,SUAPI,69345000, 
226,RR,Rorainópolis,RORAINOPOLIS - CENTRO,POLO UAB - RORAINOPOLIS,Av Senador Hélio Campos,s/n,centro,69373000,
227,RR,São João da Baliza,SAO JOAO DA BALIZA - CENTRO,POLO UAB/UNIVIRR - SAO JOAO DA BALIZA,Av. São Miguel,171,Centro,69375000,Escola Estadual Henrique Dias
230,RS,Agudo,AGUDO - CENTRO,POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR DE AGUDO - UAB,Av.Borges de Medeiros,1194,Centro,96540000,
231,RS,Arroio dos Ratos,ARROIO DOS RATOS - CENTRO,POLO UAB - ARROIO DOS RATOS,Av. João Pereira da Silva,1250,Centro,96740000,
232,RS,Balneário Pinhal,BALNEARIO PINHAL - DISTRITO DE MAGISTERIO,POLO DE EDUCACAO SUPERIOR DO BALNEARIO PINHAL - UABBP,rua São Jerônimo,826,Distrito de Magistério,95599000,
233,RS,Cachoeira do Sul,CACHOEIRA DO SUL - CENTRO,"POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL E CASA DO PROFESSOR ""VALE DO JACUI"" DE CACHOEIRA DO SUL  ",RUA JULIO DE CASTILHO,342,CENTRO,96501000, 
234,RS,Camargo,CAMARGO - CENTRO,POLO DE APOIO PRESENCIAL - UAB CAMARGO/RS,Rua Padre Stripolli,459,Centro,99165000,
235,RS,Cerro Largo,CERRO LARGO - CENTRO,POLO UAB - CERRO LARGO,Rua Major Antonio Cardoso,250,Centro,97900000,
236,RS,Constantina,CONSTANTINA - CENTRO,POLO DE EDUCACAO SUPERIOR DE CONSTANTINA - PESCO - UAB,Avenida Amandio Araujo,1125,Centro,99680000,Escola
237,RS,Cruz Alta,CRUZ ALTA - CENTRO,POLO UAB CRUZ ALTA - RS,RUA PINHEIRO MACHADO,911,CENTRO,98005000, 
238,RS,Faxinal do Soturno,FAXINAL DO SOTURNO - CENTRO,POLO DE APOIO PRESENCIAL FAXINAL DO SOTURNO,Rua Sete de Setembro,790,Centro,97220000,Fundos
239,RS,Herval,HERVAL - CENTRO,POLO UNIVERSITARIO DE HERVAL,Rua José Maria D'Avila,336,Centro,96310000,
240,RS,Hulha Negra,HULHA NEGRA - CENTRO,POLO DE APOIO PRESENCIAL DE HULHA NEGRA,AVENIDA GETULIO VARGAS,S/N,CENTRO,96460000,
241,RS,Itaqui,ITAQUI - CENTRO,UAB - POLO UNIVERSITARIO DA FRONTEIRA OESTE,Euclides Aranha,1288,Centro,97650000,
242,RS,Jacuizinho,JACUIZINHO - CENTRO,POLO UAB - JACUIZINHO,Rua Nelcindo Muratt,S/N,centro,99457000,Anexo a Escola Municipal Leonel de Moura Brizola
244,RS,Mostardas,MOSTARDAS - VILA NORTE,POLO DE APOIO PRESENCIAL DE MOSTARDAS - UAB,AV. DR. DINARTE SILVEIRA MARTINS,330,VILA NORTE,96270000, Escola Municipal Dr. Dinarte Silveira Martins
245,RS,Picada Café,PICADA CAFE - CENTRO,POLO UNIVERSITARIO DE PICADA CAFE - UAB,RUA DAS AZALÉIAS,638,CENTRO,95175000, 
246,RS,Quaraí,QUARAI - CENTRO,POLO UAB - POLO DE APOIO PRESENCIAL PARA EDUCACAO A DISTANCIA DE QUARAI - UAB,Rua Duque de Caxias,1080,Centro,97560000,
247,RS,Restinga Seca,RESTINGA SECA - CENTRO,POLO EDUCACIONAL SUPERIOR DE RESTINGA SECA - UAB,Rua José Celestino Alves,134,Centro,97200000,2º andar
248,RS,Santa Vitória do Palmar,SANTA VITORIA DO PALMAR - CENTRO,POLO UNIVERSITARIO DE ENSINO EXTREMO MERIDIONAL - SANTA VITORIA DO PALMAR - UAB,"SEDE: Rua Barão do Rio Claro, Anexo: Rua Campos Neutrais","sede: 760, Anex:1483",Centro,96230000,
249,RS,Santana da Boa Vista,SANTANA DA BOA VISTA - NOSSA SENHORA DO ROSARIO,POLO MUNICIPAL DE SANTANA DA BOA VISTA - UAB,Rua Aparicio Freitas,405,Nossa Senhora do Rosário,96590000,
250,RS,Sant' Ana do Livramento,SANT' ANA DO LIVRAMENTO - CENTRO,POLO DE APOIO PRESENCIAL MUNICIPAL SANT' ANA DO LIVRAMENTO - UAB,Rua Barão do Triunfo,1048,Centro,97573590,Prédio
251,RS,Santo Antônio da Patrulha,SANTO ANTONIO DA PATRULHA - CIDADE ALTA,POLO UNIVERSITARIO SANTO ANTONIO - SANTO ANTONIO DA PATRULHA - UAB, RUA BARÃO DO CAHY,125,CIDADE ALTA,95500000, Em Frente ao Correio
252,RS,São Francisco de Paula,SAO FRANCISCO DE PAULA - CENTRO,CAEDSFP - CENTRO DE APOIO PARA A EDUCACAO A DISTANCIA DE SAO FRANCISCO DE PAULA - UAB,Rua Manoel Vicente Ferreira,329,Centro,95400000,Prédio do Banco do Brasil
253,RS,São João do Polêsine,SAO JOAO DO POLESINE - CENTRO,POLO DE APOIO PRESENCIAL UAB DE SAO JOAO DO POLESINE,Avenida São João do Polêsine,1532,centro,97230000,
254,RS,São José do Norte,SAO JOSE DO NORTE - GUARIDA,POLO UNIVERSITARIO DE SAO JOSE DO NORTE - UAB,fernando duprat,700,guarida,96225000,
255,RS,São Lourenço do Sul,SAO LOURENCO DO SUL - AVENIDA,PAED - POLO DE APOIO AO ENSINO A DISTANCIA - SAO LOURENCO DO SUL - UAB,Av. Coronel Nonô Centeno,933,Avenida,96170000,
256,RS,Seberi,SEBERI - CENTRO,UNIVERSIDADE ABERTA DO BRASIL - POLO DE APOIO PRESENCIAL - SEBERI,Travessa Conde de Porto alegre ,65,Centro,98380000,
257,RS,Sobradinho,SOBRADINHO - VERA CRUZ,POLO REGIONAL DE ENSINO SUPERIOR A DISTANCIA DE SOBRADINHO - UAB,Rua Honório Luiz Guerreiro,270,VERA CRUZ,96900000, -
258,RS,Tapejara,TAPEJARA - ZONA RURAL,NUCLEO DE TECNOLOGIA EDUCACIONAL DE TAPEJARA,"Linha Girardi, Km 03 ",s/n,Zona Rural,99950000,PERIMETRAL 
259,RS,Tio Hugo,TIO HUGO - DO LORO,NUCLEO DE TECNOLOGIA EDUCACIONAL DE TIO HUGO - UAB,Rua Lourenço Gaspar da Silva,sn,Do Loro,99345000,Anexo a Escola Municipal Reinaldo Born
260,RS,Três de Maio,TRES DE MAIO - GLORIA,POLO UNIVERSITARIO FEDERAL DE TRES DE MAIO,RUA PLANALTO,1600,GLÓRIA,98910000, 
261,RS,Três Passos,TRES PASSOS - ERICO VERISSIMO,POLO UAB - POLO UNIVERSITARIO FEDERAL DE TRES PASSOS,Cipriano Barata,239,Érico Veríssimo,98600000,
262,SC,Treze Tílias,TREZE TILIAS - CENTRO,POLO UAB VERDES VALES DE TREZE TILIAS,RUA OSCAR VON HEBRENBRUCH,79,CENTRO,89650000,S/Nº
263,SC,Videira,VIDEIRA - MATRIZ,POLO DA UNIVERSIDADE ABERTA DO BRASIL - VIDEIRA,RUA CAMPOS NOVOS,135,MATRIZ,89560000, Anexo a Biblioteca Pública Municipal
264,SE,Arauá,ARAUA - CENTRO,POLO DA UAB JOALDO COSTA CARVALHO - ARAUA,RUA JOSÉ DIAS FILHO,,CENTRO,49220000, CONJUNTO ALZIRA COSTA
266,SE,Brejo Grande,BREJO GRANDE - CENTRO,POLO FOZ DO SAO FRANCISCO-  B. GRANDE/ SE,Rua Dr. Eneas Fereira,510,centro,49995000,
267,SE,Estância,ESTANCIA - CENTRO,POLO SENADOR JULIO CESAR LEITE,PÇA. JACKSON DE FIGUEIREDO,75,CENTRO,49200000,
268,SE,Japaratuba,JAPARATUBA - CENTRO,POLO UAB - JAPARATUBA,AVENIDA RIO DE JANEIRO-ANEXO ESTADIO TOZÃO,,CENTRO,49960000, 
269,SE,Laranjeiras,LARANJEIRAS - CENTRO,POLO UAB - LARANJEIRAS,CAIC Cel. José Sizinho da Rocha,S/N,Centro,49170000,Av. Edvaldo Xavier Almeida Conjunto Manuel do Prado Franco
270,SE,Poço Verde,POCO VERDE - CENTRO,POLO UAB - POCO VERDE,Rua José Rodrigues de Melo,124,CENTRO,49490000,
271,SE,Porto da Folha,PORTO DA FOLHA - CENTRO,POLO UAB - PORTO DA FOLHA,Praça Manoel Messias de Freitas,S/N,Centro,4980000,
272,SE,São Domingos,SAO DOMINGOS - CENTRO,POLO UAB - SAO DOMINGOS,AV. JOSÉ FREIRE DE LIMA,610,CENTRO,49525000, AV.José Freire de Lima
273,SP,Apiaí,APIAI - JARDIM PARAISO,POLO DE APOIO PRESENCIAL DA UAB EM APIAI,RUA TENENTE MARTINS,480,JARDIM PARAÍSO,18320000, 
274,SP,Bálsamo,BALSAMO - CENTRO,POLO UAB - BALSAMO,RUA AURORA SOARES GERALDES - 419,419,CENTRO,15140000, 
275,SP,Barretos,BARRETOS - DERBYCLUB,POLO UAB - BARRETOS,RUA  21 DE ABRIL,240,DERBYCLUB,14787240, 
276,SP,Guarulhos,GUARULHOS - MACEDO,CENTRO MUNICIPAL DE EDUCACAO ADAMASTOR - CME,Monteiro Lobato,734,Macedo,7112000,- até 1589/1590
277,SP,Igarapava,IGARAPAVA - VILA GOMES,POLO UNIVERSITARIO ABERTO MUNICIPAL DE IGARAPAVA - UAB,RUA AZARIAS ARANTES ,,VILA GOMES,14540000,
278,SP,Itapecerica da Serra,ITAPECERICA DA SERRA - CENTRO,COMPLEXO EDUCACIONAL PREFEITO ARY PEREIRA DE MORAES,"Rua São João, 47",47,Centro,6850060,
279,SP,Itapetininga,ITAPETININGA - TABOAOZINHO,POLO CHOPIN TAVARES DE LIMA,AV. DR. CyRO ALBUQUERQUE,4750,TABOÃOZINHO,18213615, 
280,SP,Itapevi,ITAPEVI - COHAB/SETOR B,POLO UAB - ITAPEVI,AV Pedro Paulino,74,COHAB/SETOR B,6663000,COHAB
281,SP,Jales,JALES - COHAB JACB II,POLO REGIONAL DE JALES - UAB,AV. BRASÍLIA,934,COHAB JACB II,15707638, 
282,SP,Jandira,JANDIRA - JARDIM EUROPA,POLO UAB - JANDIRA,RUA FRANCISCO ARAUJO CHAVES  ,120,JARDIM EUROPA,6626020, 
283,SP,Osasco,OSASCO - CENTRO,POLO UAB - CHIQUINHA GONZAGA - OSASCO,Marechal Rondon,263,Centro,6093020,- até 359 - lado ímpar
284,SP,São Carlos,SAO CARLOS - VILA NERY,POLO DE APOIO PRESENCIAL DE SAO CARLOS - UAB,Rua São Sebastião,2828,Vila Nery,13560230,Campus Rui Barbosa - FESC
287,SP,Tarumã,TARUMA - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL DE TARUMA -,Rua Girassol ,201,Centro,19820000, Em frente a Câmara Municipal de Educação de Tarumã
288,TO,Ananás,ANANAS - CENTRO,POLO UAB - ANANAS,Praça da Bandeira/Rua João Batista,s/n,Centro,77890000,Escola Municipal João Dias Borges
289,TO,Nova Olinda,NOVA OLINDA - CENTRO,POLO DE APOIO PRESENCIAL,"Avenida Bernado Sayão, Quadra 162",22636,Centro,77790000,Setor Central - as margens da BR 153
290,TO,Palmas,PALMAS - PLANO DIRETOR NORTE,POLO DE EAD EM PALMAS,"QUADRA 206 NORTE, AVENIDA LO 04",4,PLANO DIRETOR NORTE,77006244,
294,ES,Alegre,ALEGRE - CENTRO,POLO DE ALEGRE,Alto Universitário,S/N,Centro,29500000,
296,MG,Almenara,ALMENARA - CENTRO,POLO ALMENARA,Rua Avelino Nascimento,13,Centro,39900000,
299,MT,Alto Araguaia,ALTO ARAGUAIA - CENTRO,POLO DE ALTO ARAGUAIA,Rua Rio Branco,391,Centro,78780000,
302,BA,Amargosa,AMARGOSA - CENTRO,POLO UAB - AMARGOSA,Rua Gilda Ferreira,307,Centro,45300000,
303,GO,Anápolis,ANAPOLIS - JUNDIAI,POLO ANAPOLIS,Avenida São Francisco,880,Jundiaí,75110810,Centro de Referencia e For. dos Profissionais da Educação
304,MA,Anapurus,ANAPURUS - AEROPORTO,POLO DE APOIO PRESENCIAL UAB DONA NERCI ALVES MONTELES ANAPURUS-MA.,Rua Maria Pires Leite,s/n,Aeroporto,65525000,Complexo Educacional Dona Nerci Alves Monteles
305,PR,Apucarana,APUCARANA - CENTRO,POLO DE APOIO PRESENCIAL DE APUCARANA,Praça Rui Barbosa,12,Centro,86800970,
308,TO,Araguacema,ARAGUACEMA - CENTRO,POLO DE EDUCAçãO A DISTâNCIA DE ARAGUACEMA,Rua Rui Barbosa,S/N,Centro,77690000,
310,TO,Araguatins,ARAGUATINS - NOVA ARAGUATINS,POLO DE EDUCAçãO A DISTâNCIA DE ARAGUANTINS,Rua 6,S/N,Nova Araguatins,77950000,Centro de Ensino Antônia Milhomem
311,SC,Araranguá,ARARANGUA - NOVA DIVINEIA,POLO UAB - ARARANGUA,Rua Salvato Palatini,s/n,Nova Divinéia,88905226,Antiga Escola Munc. Nova Divinéia
313,SP,Araras,ARARAS - CENTRO,POLO UAB - ARARAS,Av. Nestlé ,58,Centro,13601005,Vila Michelin
314,MA,Arari,ARARI - CENTRO,POLO DE APOIO PRESENCIAL UAB - ARARI,Rua 31 de Março,s/n,Centro,65480000,Colégio Comercial de Arari
315,MG,Araxá,ARAXA - SANTA RITA,POLO UAB_ARAXA,Av. Hítalo Rossi,s/n,Santa Rita,38181419,Prédio do SESI/SENAI
317,TO,Arraias,ARRAIAS - CENTRO,POLO UAB - ARRAIAS,Av. Universitária ,s/nº,Centro,77330000,Campus de Arraias
318,PR,Assaí,ASSAI - CENTRO,POLO UAB -POLO PRESENCIAL DE APOIO AO ENSINO A DISTANCIA DE ASSAI,Rua Manoel Ribas,1103,Centro,86220000,Colégio Estadual Barão do Rio Branco
323,MG,Bambuí,BAMBUI - CENTRO,POLO UAB DE BAMBUI ,Rua Padre João Veloso ,237,Centro,38900000,
324,PR,Bandeirantes,BANDEIRANTES - VILA MORETI,UAB - BANDEIRANTES,Rua dos Expedicionários,270,Vila Moreti,86360000,Escola Municipal Santa Terezinha
327,PA,Barcarena,BARCARENA - SAO FRANCISCO,POLO UAB - BARCARENA PREFEITO JOAO CARLOS DOS SANTOS DIAS,Rodovia PA 481,S/N,São Francisco,68447000,Subprefeitura
