id_polo,uf_polo,municipio_polo,nome_polo,nome_fantasia,polo_logradouro,polo_numero,polo_bairro,polo_cep,polo_complemento
35,BA,São Sebastião do Passé,SAO SEBASTIAO DO PASSE - RODOVIA,POLO UAB - SAO SEBASTIAO DO PASSE - BA,"BR 110, KM 10                              ",S/N,RODOVIA,43850000,
36,BA,Senhor do Bonfim,SENHOR DO BONFIM - BARBOSA SANTOS,POLO UAB - SENHOR DO BONFIM,RUA JOSÉ FRANSCISCO,S/N,BARBOSA SANTOS,48970000,REFERENCIA CODETAN
37,BA,Simões Filho,SIMOES FILHO - C.I.A 1,POLO UAB-SIMOES FILHO,Avenida Elmo Serejo Farias,2345,C.I.A 1,43700000, Ao lado do Colégio Metropolitano
38,CE,Aracati,ARACATI - AEROPORTO,POLO UAB - ARACATI,Br 304 - Km 44,200,Aeroporto,62800000,E. E. F. Antônio monteiro
39,CE,Aracoiaba,ARACOIABA - CONJUNTO SOLON LIMAVERDE,POLO UAB - ARACOIABA,AV. MANOEL BATISTA DA SILVA,,CONJUNTO SOLON LIMAVERDE,62755000, 
40,CE,Barbalha,BARBALHA - BURITI,POLO UAB - BARBALHA,AV JOSÉ BERNADINO CAVALCANTE LEITE,SN,BURITI,63180000,KM 04
41,CE,Camocim,CAMOCIM - CENTRO,POLO UAB - CAMOCIM,RUA DA INDEPENDÊNCIA ,412,CENTRO,62400000, 
42,CE,Caucaia,CAUCAIA - JUREMA,POLO UAB CAUCAIA 2 - ESCOLA RUBENS VAZ(JUREMA) ,AV. NOVO HORIZONTE,,JUREMA,61695000,CONJUNTO MARECHAL RONDON
43,CE,Caucaia,CAUCAIA - NOVO PABUSSU,MARIA DOLORES MENEZES DE ALMEIDA - POLO UAB DE CAUCAIA 1( PROVISORIO),RUA DA CONSOLAÇÃO,465,NOVO PABUSSÚ,61600310, 
44,CE,Caucaia,CAUCAIA - ITAMBE I,POLO UAB CAUCAIA 3 - ESCOLA FLAVIO PORTELA MARCILIO(SEDE),"RUA 05,CONJUNTO VICENTE ARRUDA",23,ITAMBÉ I,61600000,ESCOLA DE ENS. FUNDAMENTAL FLÁVIO PORTELA MARCÍLIO
45,CE,Fortaleza,FORTALEZA - DAMAS,UNIVERSIDADE POPULAR DE FORTALEZA,Av. João Pessoa,5609,Damas,60425682,Campus do Imparh
46,CE,Limoeiro do Norte,LIMOEIRO DO NORTE - SANTA LUZIA - CENTRO,POLO UAB - LIMOEIRO DO NORTE,RUA JOSE HAMILTON DE OLIVEIRA,160,SANTA LUZIA - CENTRO,62930000,SECRETARIA DE EDUCA??O
47,CE,Meruoca,MERUOCA - CENTRO,POLO UAB - MERUOCA,Praça Caetano Alves,s/n,CENTRO,62130000,
48,CE,Quixadá,QUIXADA - CEDRO VELHO,POLO MUNICIPAL DE APOIO PRESENCIAL DA UAB DE QUIXADA - CE,"Estrada do Açude do Cedro, KM 05",S/N,Cedro Velho,63900000,IFCE Quixadá
49,CE,Quixeramobim,QUIXERAMOBIM - DISTRITO INDUSTRIAL,POLO ESTADUAL DE QUIXERAMOBIM - CENTEC,Av: GERALDO BIZARRIA DE CARVALHO,S/N,DISTRITO INDUSTRIAL,63800000,VIZINHO A ESCOLA AGRÍCOLA
50,CE,Quixeramobim,QUIXERAMOBIM - CENTRO,POLO UNIVERSITARIO DR. ANDRADE FURTADO - QUIXERAMOBIM (MUNICIPIO) - UAB,"AVENIDA  DR. JOAQUIM FERNANDES,BLOCO C",382,CENTRO,63800000, 
51,CE,Russas,RUSSAS - YPIRANGA,POLO ESTADUAL DE RUSSAS - UAB,TRAVESSA PEDRO ARAÚJO,sn,YPIRANGA,62900000, 
52,CE,São Gonçalo do Amarante,SAO GONCALO DO AMARANTE - LIBERDADE,POLO UAB - SAO GONCALO DO AMARANTE,RUA ESTRADA DA LIBERDADE ,s/n,LIBERDADE,62670000, 
53,CE,Ubajara,UBAJARA - CENTRO,POLO UAB - UBAJARA,AVENIDA CORONEL FRANCISCO CAVALCANTE,503,CENTRO,62350000,
54,ES,Afonso Cláudio,AFONSO CLAUDIO - CUSTODIO LEITE RIBEIRO,CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE AFONSO CLAUDIO - UAB,ALAMEDA NOSSA SENHORA DE LOURDES,111,CUSTÓDIO LEITE RIBEIRO,29600000, 
55,ES,Aracruz,ARACRUZ - CENTRO,POLO DE APOIO PRESENCIAL DA UAB E CENTRO DE FORMACAO DE PROFESSORES JOSE MODENESE - ARACRUZ,RUA GENERAL ARISTIDES GUARANÁ,23,CENTRO,29190050, 
56,ES,Baixo Guandu,BAIXO GUANDU - CENTRO,POLO UAB - BAIXO GUANDU,RUA FRITZ VON LUTZOW,217,Centro,29730000,Edifício
57,ES,Bom Jesus do Norte,BOM JESUS DO NORTE - CENTRO,POLO UAB DE APOIO PRESENCIAL DE BOM JESUS DO NORTE-ES ,AV. GOVERNADOR FRANCISCO LACERDA DE AGUIAR,S/Nº,CENTRO,29460000,
58,ES,Castelo,CASTELO - VILA ISABEL,POLO UAB - CASTELO,"Praça Mário Lima, número",43,Vila Isabel,29360000, Escola Madalena Pisa
59,ES,Conceição da Barra,CONCEICAO DA BARRA - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE CONCEICAO DA BARRA - CEME@D - UAB,Rua Vidilino Matos de Lima,s/n,Centro,29960000,Prédio da cozinha industrial
60,ES,Domingos Martins,DOMINGOS MARTINS - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL DE DOMINGOS MARTINS - UAB,TRAVESSA AUGUSTO SCHWAMBACH,87,CENTRO,29260000, 
61,ES,Ecoporanga,ECOPORANGA - CENTRO,POLO UNIVERSITARIO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL DE ECOPORANGA,Rua José Cruz,s/n°,CENTRO,29850000,
62,ES,Itapemirim,ITAPEMIRIM - CENTRO,POLO DE APOIO PRESENCIAL DO SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB DE ITAPEMIRIM/ES.,AVENIDA CRISTIANO DIAS LOPES FILHO,s/nº,CENTRO,29330000, 
63,ES,Iúna,IUNA - NITEROI,POLO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA  DE IUNA,AV. MINTAS OSÓRIO DE MATTOS,1459,NITEROI,29390000,PARQUE DE EXPOSIÇÕES CASSIANO OSÓRIO JÚNIOR
64,ES,Mantenópolis,MANTENOPOLIS - CENTRO, POLO MUNICIPAL DE APOIO PRESENCIAL DE MANTENOPOLIS/ES  CEME@AD -CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA,Av. TIRADENTES ,,CENTRO,29770000,EM CIMA DA RODOVIÁRIA
65,ES,Mimoso do Sul,MIMOSO DO SUL - CHACARA DO CHAFARIZ,POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E DISTANCIA - MIMOSO DO SUL - UAB,RUA PROJETADA  ,s/n,CHÁCARA DO CHAFARIZ,29400000, Pombal
67,ES,Pinheiros,PINHEIROS - CENTRO,CESP- CENTRO DE EDUCACAO SUPERIOR DE PINHEIROS - UAB,Rua: General Rondon,S/N,CENTRO,29980000,Bairro  Nova Canaã
68,ES,Piúma,PIUMA - CENTRO,POLO UAB - PIUMA,Rua Jair Novais,56,Centro,29285000,
69,ES,Santa Leopoldina,SANTA LEOPOLDINA - CENTRO,POLO DE APOIO PRESENCIAL/UAB - UNIVERSIDADE ABERTA DO BRASIL,RUA MOXAFONGO,s/n,CENTRO,29640000, PRÉDIO
70,ES,Vargem Alta,VARGEM ALTA - CENTRO,"POLO MUNICIPAL DE APOIO PRESENCIAL CEMEAD ""ISAAC THOMPSON DE PAULA ""VARGEM ALTA - UAB", RUA PEDRO ISRAEL DAVID,500,CENTRO,29295000, 
73,GO,Aguas Lindas de Goiás,AGUAS LINDAS DE GOIAS - MANSOES OLINDA,POLO UAB - AGUAS LINDAS DE GOIAS,RUA 13 - QUADRA A1 LOTE 02 ,,MANSÕES OLINDA,72910000, 
74,GO,Alexânia,ALEXANIA - FAZENDA CACHOEIRA,"POLO UAB - ALEXANIA ""CORA CORALINA""",GO 139 KM 02 ,,FAZENDA CACHOEIRA,72930000,ESCOLA AGRÍCOLA LOTHAR SCHILLER 
75,GO,Alto Paraíso de Goiás,ALTO PARAISO DE GOIAS - CENTRO,POLO UAB ALTO PARAISO DE GOIAS,RUA SÃO JORGE QUADRA 26 PARTE DA  APM 6,,CENTRO,73770000, 
76,GO,Aparecida de Goiânia,APARECIDA DE GOIANIA - VILA BRASILIA,CENTRO MUNICIPAL DE EDUCACAO PROFISSIONAL - APARECIDA DE GOIANIA - UAB,"AV. RUDÁ ESQUINA COM A RUA PINDORAMA QD 37""""A"""" LT. 1/2 ",S/N,VILA BRASILIA,74905760, 
77,GO,Catalão,CATALAO - JARDIM PRIMAVERA,POLO UAB - CATALAO,Rua das Violetas,100,Jardim Primavera,75712735,
78,GO,Cezarina,CEZARINA - CENTRO,CENTRO DE ENSINO SUPERIOR DE CEZARINA -UAB,Rui Rui Barbosa,159,Centro,76195000,
79,GO,Formosa,FORMOSA - ABREU,POLO DE APOIO PRESENCIAL DO MUNICIPIO DE FORMOSA - UAB,Travessa Poli Coelho,25,Abreu,73803065,Vila Yara
