"UENF","-21.76155120","-41.30181230","Av Alberto Lamego ,2000","Parque Califórnia","Campos Dos Goytacazes","RJ","28013602","(22) 2739-7009","http://www.uenf.br/portal/index.php/br/ensino/ensino-a-distancia-cederj.html","http://www.uenf.br/portal/index.php/br/ensino/ensino-a-distancia-cederj.html"
"UEPA","-1.43021110","-48.48876840","Rua do Una,156","Telegrafo","Belem","PA","66113200","(91) 3299-2265 r2265","http://necad.uepa.br/moodle/","http://necad.uepa.br/moodle/"
"UEPB","-7.22467430","-35.87712920","","","Campina Grande","PB","58109753","(83) 3244-2358","http://ead.uepb.edu.br/","http://ead.uepb.edu.br/"
"UEPG","-25.08916850","-50.16018120","Av. Carlos Cavalcanti,4748","Uvaranas","Ponta Grossa","PR","84030900","(42) 3220-3231","http://www.nutead.org/site/","http://www.nutead.org/site/"
"UERJ","-22.91117095","-43.23577960","Rua São Francisco Xavier,524","Maracanã","Rio De Janeiro","RJ","20550900","(21) 2334-0682","http://www.uerj.br/ensino/ensino_distancia.php","http://www.uerj.br/ensino/ensino_distancia.php"
"UERN","-5.18942000","-37.33991000","Professor Antônio Campos,s/n","Presidente Costa E Silva","Mossoró","RN","59610210","(84) 3315-2139","http://www.uern.br/nead/","http://www.uern.br/nead/"
"UESB","-14.85674870","-40.84148040","Universidade do Sudoeste da Bahia,0","Universidade","Vitoria Da Conquista","BA","45031900","(77) 3425-9308","http://www.uesb.br/","http://www.uesb.br/"
"UESC","-14.79304500","-39.04602000","Rodovia Ilhéus-Itabuna, Km 16","Salobrinho","Ilheus","BA","45662900","(73) 3680-5458","http://nead.uesc.br/","http://nead.uesc.br/"
"UESPI","-5.08964030","-42.80958800","Rua João Cabral,2231","Pirajá","Teresina","PI","64002150","(86) 3213-1182","http://siteead.uespi.br/","http://siteead.uespi.br/"
"UFABC","-23.66099060","-46.54528200","Rua Catequese,242","Jardim","Santo Andre","SP","9090400","(11) 4437-8453","http://uab.ufabc.edu.br/","http://uab.ufabc.edu.br/"
"UFAC","-9.97653620","-67.82207780","","","Rio Branco","AC","69920900","(68) 3229-6808 ","http://uab.ufac.br",""
"UFAL","-9.64768430","-35.73392640","","","Maceió","AL","57072970","(82) 3214-1135","http://www.ufal.edu.br/cied","http://www.ufal.edu.br/cied"
"UFAM","-3.09932000","-59.97483000","Av Rodrigo Octávio Jordão Ramos,3000","Coroado","Manaus","AM","69077000","(92) 3305-4501","www.ced.ufam.edu.br","http://www.ced.ufam.edu.br/"
"UFBA","-13.00261240","-38.50692590","Av. Adhemar de Barros,s/n","Ondina","Salvador","BA","40110060","(71) 3283-7073","http://www.ufba.br/","http://www.ufba.br/"
