92,6,280,,50,09/2013,10/2013,0,0,0,0
93,6,163,03/2009,20,01/2013,03/2013,20,1,11,32
94,6,163,03/2014,25,02/2018,09/2017,0,0,0,16
95,6,163,10/2007,20,01/2012,10/2011,9,0,5,14
96,6,997,,100,02/2012,09/2011,0,0,0,0
97,6,165,03/2014,40,08/2018,03/2018,0,0,0,38
98,6,166,03/2009,20,01/2013,03/2013,3,3,10,16
99,6,166,10/2007,15,01/2012,10/2011,2,0,1,3
100,6,168,03/2009,20,01/2014,03/2013,15,3,6,24
101,6,168,,15,09/2011,10/2011,0,0,0,0
102,7,892,10/2013,50,09/2017,09/2017,0,0,0,48
103,7,280,05/2014,49,04/2016,05/2016,0,0,0,18
104,7,280,10/2011,50,09/2013,10/2013,18,11,20,49
105,7,280,10/2013,50,09/2015,10/2015,13,2,13,28
106,7,280,10/2014,50,09/2016,09/2016,0,0,0,22
107,7,280,,50,09/2014,10/2014,0,0,0,0
108,7,163,03/2009,20,01/2013,03/2013,21,5,9,35
109,7,163,03/2014,25,02/2018,09/2017,0,0,0,19
110,7,163,10/2007,20,01/2012,10/2011,14,0,5,19
111,7,166,03/2009,20,01/2013,03/2013,0,0,13,13
112,7,166,10/2007,15,01/2012,10/2011,0,0,1,1
113,7,168,03/2009,20,01/2013,03/2013,10,2,11,23
114,7,168,10/2007,15,01/2012,10/2011,0,0,1,1
115,8,22,12/2008,60,08/2009,09/2009,1,0,1,2
116,8,24,05/2010,60,04/2011,11/2009,19,0,13,32
117,8,280,05/2014,30,04/2016,05/2016,0,0,0,3
118,8,280,10/2014,30,09/2016,09/2016,0,0,0,14
119,8,1221,11/2010,40,08/2011,10/2011,5,0,38,43
120,8,163,10/2007,20,01/2012,10/2011,13,0,8,21
121,8,997,,100,02/2012,09/2011,0,0,0,0
122,8,166,03/2009,20,01/2013,02/2013,0,0,4,4
123,8,166,10/2007,15,01/2012,10/2011,0,0,2,2
124,8,167,03/2014,30,01/2019,09/2018,0,0,4,30
125,8,168,10/2007,15,01/2012,10/2011,3,1,6,10
126,8,168,,0,01/2013,02/2013,0,0,0,0
127,9,21,06/2010,40,05/2011,11/2010,14,3,11,28
128,9,21,12/2009,30,11/2010,11/2009,28,0,14,42
129,9,21,12/2013,40,11/2014,02/2013,25,0,7,32
130,9,22,11/2009,60,07/2010,09/2010,36,0,5,41
131,9,22,12/2013,35,08/2014,11/2012,21,0,5,26
132,9,23,11/2009,30,07/2010,09/2010,10,0,3,13
133,9,23,,60,04/2012,04/2012,0,0,0,0
134,9,24,03/2010,90,02/2011,09/2010,35,0,26,61
135,9,24,11/2012,90,10/2013,02/2013,63,0,27,90
136,9,24,12/2008,60,11/2009,11/2009,27,0,33,60
137,9,25,12/2012,60,08/2013,11/2012,15,0,11,26
138,9,264,07/2006,250,12/2010,12/2009,5,120,0,125
139,9,767,09/2009,100,12/2013,09/2013,31,8,68,107
140,9,767,10/2012,75,07/2016,08/2016,0,0,27,73
141,9,265,12/2009,50,05/2011,04/2012,0,51,1,52
142,9,1026,05/2011,100,10/2012,11/2012,0,247,0,247
143,9,1712,11/2014,30,04/2016,11/2015,0,0,7,30
144,9,1710,09/2014,30,06/2016,04/2016,0,0,0,44
145,9,32,02/2010,120,02/2014,12/2014,0,8,33,41
146,9,32,03/2009,50,02/2013,12/2013,3,4,44,51
147,9,32,04/2012,25,02/2016,08/2016,0,0,14,22
148,9,32,09/2007,50,12/2011,12/2011,6,5,48,60
149,9,32,09/2014,45,08/2018,08/2018,0,0,4,24
150,9,266,10/2009,60,09/2010,05/2010,32,0,27,59
151,9,768,08/2010,150,01/2012,04/2011,68,7,79,154
152,9,768,08/2012,75,01/2014,09/2013,43,0,20,63
153,9,769,08/2010,150,01/2012,04/2011,47,3,138,188
154,9,769,08/2012,75,01/2014,09/2013,35,0,31,66
155,9,770,08/2010,150,01/2012,04/2011,70,11,78,159
156,9,770,08/2012,75,01/2014,09/2013,26,1,37,64
157,9,267,04/2010,100,02/2014,03/2014,0,37,51,88
158,9,267,04/2012,30,02/2016,08/2016,0,0,0,19
159,9,267,04/2015,50,03/2019,08/2018,0,0,1,35
160,9,267,09/2009,50,08/2013,12/2013,0,17,32,49
161,9,1052,09/2014,150,04/2016,09/2012,0,0,0,150
162,9,33,03/2009,50,10/2012,12/2012,20,31,14,65
163,9,33,03/2010,50,09/2013,12/2013,2,70,0,72
164,9,33,03/2012,25,09/2015,08/2016,0,0,0,26
165,9,33,09/2007,100,10/2011,12/2012,55,42,12,109
166,9,33,09/2014,70,02/2018,08/2019,0,0,0,58
167,9,31,01/2015,50,12/2018,08/2018,0,0,1,49
168,9,31,03/2009,50,02/2013,12/2012,8,27,18,53
169,9,31,03/2010,50,01/2014,12/2013,2,35,9,46
170,9,31,09/2007,50,01/2012,12/2011,6,22,24,52
171,9,1749,12/2014,25,06/2016,02/2016,0,0,0,22
172,9,944,11/2010,40,01/2011,02/2011,12,0,28,40
173,10,856,02/2011,50,12/2014,02/2015,11,37,0,48
174,10,856,03/2010,50,12/2013,02/2014,2,48,0,50
175,10,856,04/2014,50,07/2018,08/2018,0,0,0,47
176,10,856,10/2012,50,07/2016,04/2017,0,0,14,46
177,10,182,02/2010,50,02/2014,03/2014,1,29,3,34
178,10,182,02/2011,50,01/2015,02/2015,0,28,5,33
179,10,182,02/2012,35,02/2016,08/2016,0,0,5,35
180,10,182,04/2014,35,03/2018,08/2018,0,0,0,32
181,10,182,05/2013,35,07/2017,09/2017,0,0,1,35
182,10,805,08/2014,35,10/2015,02/2016,0,36,0,36
183,10,805,10/2013,50,06/2015,01/2014,8,22,15,45
184,10,1,02/2009,50,07/2012,07/2011,19,0,31,50
185,10,1,02/2010,50,11/2012,02/2013,11,12,30,53
186,10,1,02/2011,50,06/2013,06/2014,10,22,18,50
187,10,1,04/2014,45,07/2016,08/2016,0,0,0,32
188,10,1,05/2013,45,08/2015,09/2015,0,0,3,45
189,10,1,12/2007,50,10/2010,07/2010,25,2,17,44
190,10,1,,50,07/2014,12/2014,0,0,0,0
191,10,183,02/2009,50,10/2012,07/2012,2,31,14,47
192,10,183,02/2010,50,01/2014,07/2014,0,34,18,52
193,10,183,02/2011,50,12/2014,07/2015,0,36,14,50
194,10,183,04/2014,50,03/2018,08/2018,0,0,0,42
