294,UFJF,GESTAO PUBLICA MUNICIPAL INTEGRADA,ESPECIALIZAÇÃO
296,UFJF,TECNOLOGIAS DE INFORMACAO E COMUNICACAO NO ENSINO FUNDAMENTAL,ESPECIALIZAÇÃO
1011,UFMT,EDUCACAO AMBIENTAL - ESCOLAS SUSTENTAVEIS E COM VIDA,APERFEIÇOAMENTO
11,IFPA,PEDAGOGIA,LICENCIATURA
13,IFPA,SAUDE PUBLICA,TECNOLOGO
97,UFPA,MATEMATICA,LICENCIATURA
1478,UNIFAP,ADMINISTRACAO PUBLICA,BACHARELADO
947,UNIFAP,EDUCACAO DO CAMPO,ESPECIALIZAÇÃO
987,UNIFAP,EDUCACAO EM DIREITOS HUMANOS,APERFEIÇOAMENTO
980,UNIFAP,EDUCACAO E SAUDE,APERFEIÇOAMENTO
897,UNIFAP,EDUCACAO PARA A DIVERSIDADE,APERFEIÇOAMENTO
1408,UNIFAP,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
1479,UNIFAP,GESTAO EM SAUDE,ESPECIALIZAÇÃO
405,UNIFAP,MATEMATICA,LICENCIATURA
1144,UNIFAP,MIDIAS NA EDUCACAO,EXTENSÃO
1145,UNIFAP,MIDIAS NA EDUCACAO,ESPECIALIZAÇÃO
14,IFPA,TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS DE INFORMACAO,TECNOLOGO
978,UNIFAP,CULTURA E HISTORIAS DOS POVOS INDIGENAS,APERFEIÇOAMENTO
912,UNIFAP,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
976,UNIFAP,EDUCACAO INTEGRAL E INTEGRADA,APERFEIÇOAMENTO
270,UFBA,EDUCACAO AMBIENTAL,EXTENSÃO
37,UFBA,MATEMATICA,LICENCIATURA
1405,UNEB,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
991,UNEB,EDUCACAO EM DIREITOS HUMANOS,ESPECIALIZAÇÃO
910,UNEB,EDUCACAO PARA A DIVERSIDADE,ESPECIALIZAÇÃO
937,UNEB,GENERO E DIVERSIDADE NA ESCOLA,ESPECIALIZAÇÃO
816,UNEB,GESTAO PUBLICA,ESPECIALIZAÇÃO
815,UNEB,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
391,UNEB,HISTORIA,LICENCIATURA
762,UNEB,LETRAS INGLES,LICENCIATURA
1193,UESB,MIDIAS NA EDUCACAO,ESPECIALIZAÇÃO
271,UFBA,EDUCACAO DE JOVENS E ADULTOS,EXTENSÃO
272,UFBA,EDUCACAO ETNICO-RACIAL,EXTENSÃO
1610,UFBA,ENSINO DE FILOSOFIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
