"id","cidade","uf","lat","lng","nome_polo","nome_fantasia","logradouro","numero","bairro","cep","complemento","conceito"
"116","Pontes e Lacerda","MT","-15.58044350","-59.38001050","PONTES E LACERDA - CENTRO","POLO UAB - PONTES E LACERDA","Avenida Bom Jesus","643","Centro","78250000","escola","AA"
"117","Primavera do Leste","MT","-15.03756590","-54.17200410","PRIMAVERA DO LESTE - CENTRO","POLO UAB - PRIMAVERA DO LESTE","Av. Porto Alegre","30","Centro","78850000","","AA"
"118","Ribeirão Cascalheira","MT","-12.93024940","-51.51500770","RIBEIRAO CASCALHEIRA - SETOR INDUSTRIAL","POLO RUI BARBOSA - RIBEIRAO CASCALHEIRA - UAB","Padre João Bosco","2918","Setor Industrial","78675000","Centro de Educaçã oa Distancia","AA"
"119","São Félix do Araguaia","MT","-11.27486410","-52.53186040","SAO FELIX DO ARAGUAIA - CENTRO","POLO UAB - SAO FELIX DO ARAGUAIA","Rua João Irineu","480","CENTRO","78670000"," ","AA"
"124","Dom Eliseu","PA","-4.19136410","-47.84272980","DOM ELISEU - PDS","POLO DE APOIO PRESENCIAL DE DOM ELISEU - UAB","RUA CASTRO ALVES,PDS ","","PDS","68633000"," emef manoelito sande de andrade ","AA"
"126","Juruti","PA","-2.64453940","-56.29293810","JURUTI - MARACANA","POLO UAB - JURUTI","Rua Arnaldo Pinheiro","s/n","Maracanã","68170000","Escola Municipal Professora Zelinda de Souza Guimarães","AA"
"129","Parauapebas","PA","-6.08380870","-50.43081590","PARAUAPEBAS - CIDADE NOVA","POLO PARAUAPEBAS - UAB","RUA A, QUADRA ESPECIAL","","CIDADE NOVA","68515000","CEUP- CENTRO UNIVERSITÁRIO DE PARAUAPEBAS","AA"
"130","Redenção","PA","-8.03792980","-50.02489840","REDENCAO - VILA PAULISTA","POLO CARAJAS ","Av. Ministro Oscar Thompson","750","Vila Paulista","68552140","Anexo à Escola Maria Conceição Correia","AA"
"133","Tailândia","PA","-2.87968850","-48.79951220","TAILANDIA - NOVO","POLO UNIVERSITARIO DE TAILANDIA - UAB","AVENIDA FLORIANÓPOLIS","96","NOVO","68695000","","AA"
"134","Tucumã","PA","-6.86045540","-51.43095820","TUCUMA - BAIRRO DAS FLORES","POLO UAB UNIVERSITARIO DE TUCUMA","RUA TUCURUI ","","BAIRRO DAS FLORES","68385000","ESCOLA MUNICIPAL ELCIONE BARBALHO","AA"
"135","Alagoa Grande","PB","-7.07878240","-35.58766970","ALAGOA GRANDE - CONJUNTO CEHAP I","POLO UAB - ALAGOA GRANDE","Rua Francisco Carlos da Silva","","Conjunto CEHAP I","58388000","CAIC","AA"
"136","Araruna","PB","-6.52970730","-35.71884630","ARARUNA - CENTRO","POLO UAB - ARARUNA","Rua Fausto Herminio de Araújo","S/N","CENTRO","58233000","Anexo da Igreja Matriz","AA"
"137","Campina Grande","PB","-7.22182340","-35.89049530","CAMPINA GRANDE - CENTRO","POLO MUNICIPAL DE APOIO PRESENCIAL - CAMPINA GRANDE - UAB"," RUA SANTA CLARA( LARGO DO AÇUDE NOVO)","S/N","CENTRO","58400170"," AO LADO DA CERVEJARIA BIG MIX","AA"
"138","Conde","PB","-7.28935450","-34.84034080","CONDE - CENTRO","POLO DE APOIO PRESENCIAL DA UAB - CONDE","RODOVIA PB 018 - KM 3,5","","CENTRO","58322000"," ","AA"
"139","Cuité de Mamanguape","PB","-6.90051700","-35.24781120","CUITE DE MAMANGUAPE - CENTRO","POLO UAB - CUITE DE MAMANGUAPE","RUA DA MATRIZ S/N ","","CENTRO","58289000"," ","AA"
"140","Duas Estradas","PB","-6.68811090","-35.41849730","DUAS ESTRADAS - CENTRO","POLO DE APOIO E.M.PROF  MARIA DUTRA - DUAS ESTRADAS - UAB","Rua Presidente Médici","154","Centro","58568000","Escola Municipal E. F. Diva Lira de Carvalho","AA"
"141","Itabaiana","PB","-7.35166400","-35.36856790","ITABAIANA - JUCURI","POLO MUNICPAL DE APOIO PRESENCIAL DE ITABAIANA - UAB","RUA DO JUCURI  ","S/N","JUCURI","58360000","CAIC","FR"
"142","Itaporanga","PB","-7.28181290","-38.18997820","ITAPORANGA - CENTRO","POLO UNIVERSITARIO DE APOIO PRESENCIAL - UAB - ITAPORANGA-PB","Avenida Padre Lourenço","328","Centro","58780000","","AA"
"143","João Pessoa","PB","-7.12798650","-34.85328840","JOAO PESSOA - EXPEDICIONARIOS","POLO UAB JOAO PESSOA","AVENIDA MINISTRO JOSÉ AMÉRICO DE ALMEIDA ","2727","EXPEDICIONÁRIOS","58040302","","AA"
"144","Livramento","PB","-7.32676770","-36.99708310","LIVRAMENTO - SANTO ANTONIO","POLO UAB - LIVRAMENTO","RUA ARNALDO GUILHERME DOS SANTOS","S/N","SANTO ANTONIO","58690000","PRÉDIO","AA"
"145","Lucena","PB","-6.91825940","-34.92860960","LUCENA - FAGUNDES","POLO DE APOIO PRESENCIAL DE LUCENA - UAB","RUA SÃO JOSÉ","","FAGUNDES","58315000"," ","AA"
"146","Mari","PB","-7.06554660","-35.32467690","MARI - JOSE AMERICO","POLO UAB - MARI","RUA TEREZA SALES ","S/N","JOSÉ AMÉRICO","58345000","","AA"
"147","Pitimbu","PB","-7.39893380","-34.84034080","PITIMBU -  CENTRO","POLO UAB DE PITIMBU","Travessa Bela Vista","S/N","Centro","58324000","","FR"
"148","Pombal","PB","-6.80705690","-37.83000340","POMBAL - CENTRO","POLO DE APOIO PRESENCIAL DE POMBAL JARIO VIEIRA FEITOSA - POMBAL - UAB","RUA MANOEL PIRES DE SOUSA","","CENTRO","58840000"," ","AA"
"149","Ipojuca","PE","-8.46274960","-35.08285880","IPOJUCA - CENTRO","POLO DE APOIO PRESENCIAL DA UAB IPOJUCA","RUA DO COLÉGIO","","CENTRO","55590000"," ","FR"
"150","Limoeiro","PE","-7.81753730","-35.45627950","LIMOEIRO - JUA","POLO UAB - LIMOEIRO-PE","Rua São Vicente Ferrer","97","JUA","55700000","CENTRO SOCIAL URBANO-Loteamento Ladeira Vermelha ","AA"
"151","Olinda","PE","-7.99071410","-34.84162160","OLINDA - SALGADINHO","POLO ESPACO CIENCIA - OLINDA - UAB","COMPLEXO SALGADINHO, MEMORIAL ARCOVERDE- PARQUE II","","SALGADINHO","53111970"," Complexo de Salgadinho - memorial arcoverde - parque ii - s/n","NA"
"152","Pesqueira","PE","-8.36272770","-36.73884860","PESQUEIRA - CENTRO","POLO  UAB MONSENHOR FAUSTO DE SOUZA FERRAZ","Av Ésio Araújo","17","Centro","55200000","","AA"
"153","Trindade","PE","-7.74009900","-40.28843860","TRINDADE - CENTRO","POLO DA UNIVERSIDADE ABERTA DO BRASIL - TRINDADE-PE","Rua 29 de Janeiro","95","CENTRO","56250000"," ao lado da Escola Paulo Guerra","AA"
"154","Agua Branca","PI","-22.75339600","-47.63155250","AGUA BRANCA - CENTRO","POLO UAB - UNIVERSIDADE ABERTA DO PIAUI - AGUA BRANCA","AV. JOSÉ MIGUEL,","","CENTRO","6446000","polo de apoio presencial da uab - água Branca - pi","AA"
"156","Buriti dos Lopes","PI","-3.18508880","-41.87994080","BURITI DOS LOPES - COHAB","POLO DE APOIO PRESENCIAL JOSE FRANCA DA ROCHA - BURITI DOS LOPES - UAB","RUA PROFESSORA MARIA DA GLÓRIA ","s/n","COHAB","64230000"," ","AA"
"157","Canto do Buriti","PI","-8.35891980","-43.40666180","CANTO DO BURITI - AEROPORTO","POLO MANOEL MARQUES DE ARAUJO - CANTO DO BURITI -UAB","RUA RIO GRANDE DO NORTE","702","AEROPORTO","64890000"," ","AA"
"158","Castelo do Piauí","PI","-5.38737880","-41.52127420","CASTELO DO PIAUI - CENTRO","POLO DE APOIO PRESENCIAL TERRITORIO DAS CARNAUBAIS - CASTELO DO PIAUI - UAB","Rua Joaquim Távora","537","Centro","64340000","","AA"
"159","Elesbão Veloso","PI","-6.24446760","-42.15727020","ELESBAO VELOSO - CAPITAO MUNDOCO","POLO DE APOIO PRESENCIAL TERRITORIO VALE DO SAMBITO - ELESBAO VELOSO","PRAÇA PADRE JOSÉ PAULO DO RÊGO ","","CAPITÃO MUNDOCO","64325000","U.E. JOANA NONATA DA SILVA","AA"
"160","Esperantina","PI","-3.84594350","-42.19677160","ESPERANTINA - CENTRO","POLO DE APOIO PRESENCIAL DA UAB EM ESPERANTINA - UAB","Av. Ministro Petrônio Portela","1957","Centro","64180000"," ","AA"
"161","Floriano","PI","-7.06582710","-43.09716250","FLORIANO - MELADAO","POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL- FLORIANO-PI","BR 343 KM 3,5","","MELADÃO","64800000","CAMPUS AMÍLCAR FERREIRA SOBRAL - CAFS","AA"
"162","Gilbués","PI","-9.52553110","-45.37453580","GILBUES - SANTO ANTONIO","POLO CHAPADA DAS MANGABEIRA - GILBUES - UAB","AV. JOÃO DIAS FIGUEIREDO","","SANTO ANTONIO","64930000","RUA DO ESTÁDIO MUNICIPAL (ANTIGO PRÉDIO DO INSTITUTO DESERT)","AA"
"163","Inhuma","PI","-6.68924360","-41.68097240","INHUMA - LIBERDADE","POLO LUIZ DE SOUSA LEAL - INHUMA - UAB","RUA JOÃO GONÇALVES DE HOLANDA","212","LIBERDADE","64535000"," ","AA"
"164","Piracuruca","PI","-3.97103300","-41.68097240","PIRACURUCA - CENTRO","POLO TERRITORIO DOS COCAIS - PIRACURUCA - UAB","RUA TENENTE RUI BRITO","1430","CENTRO","64240000","U.E. MAGALHÃES FILHO","AA"
"165","São João do Piauí","PI","-8.38988690","-42.15727020","SAO JOAO DO PIAUI - CENTRO","POLO DE APOIO PRESENCIAL DA UAB TERRITORIO SERRA DA CAPIVARA - SAO JOAO DO PIAUI","PRAÇA MANOEL ANTÔNIO DE SOUSA ","","CENTRO","64760000"," praça do manuca ou praça da feira","AA"
"166","Simões","PI","-7.70408830","-40.75640020","SIMOES - CENTRO","POLO TERRITORIO VALE DO RIO GUARIBAS - SIMOES - UAB","Rua Dom Expedito Lopes","s/n","centro","64585000","predio","AA"
"167","Simplício Mendes","PI","-7.75815480","-42.03859040","SIMPLICIO MENDES - CENTRO","POLO DE APOIO PRESENCIAL UAB ANTONIO DE MOURA FE/ SIMPLICIO MENDES","RUA PIO SÉVIO","","CENTRO","64700000"," ","AA"
"168","Uruçuí","PI","-7.74148610","-44.55019350","URUCUI - MALVINAS","POLO TABULEIROS DO ALTO PARNAIBA - URUCUI - UAB","RUA ALMIR BENVINDO ","","MALVINAS","64860000"," ","AA"
"169","Astorga","PR","-23.27528450","-51.72559910","ASTORGA - VILA SAMUEL","POLO MUNICIPAL DE APOIO PRESENCIAL EAD-UAB-ASTORGA","Rua Paulo Tadaschi Satomi ","581","Vila Samuel","86730000","Escola Municipal Antenor Balarotti","AA"
"170","Cidade Gaúcha","PR","-23.39361750","-52.93850020","CIDADE GAUCHA - RODOVIA","POLO UAB DE APOIO PRESENCIAL CIDADE GAUCHA - PR","Rodovia PR 482 - KM 45 ","","RODOVIA","87820000","UEM - CAMPUS DO ARENITO","AA"
"171","Cruzeiro do Oeste","PR","-23.74007930","-53.08889430","CRUZEIRO DO OESTE - CENTRO","POLO REGIONAL DE APOIO PRESENCIAL DA UAB - CRUZEIRO DO OESTE","Avenida Palmas- Esquina com a rua Faxinal","220","Centro","87400000"," ","AA"
"172","Foz do Iguaçu","PR","-25.51633560","-54.58537640","FOZ DO IGUACU - PARQUE TECNOLOGICO ITAIPU","POLO UAB - FOZ DO IGUACU","AV. TANCREDO NEVES","6731","PARQUE TECNOLÓGICO ITAIPU","85856970","FUNDAÇÃO PARQUE TECNOLÓGICO ITAIPU -   BRASIL","AA"
"173","Ibaiti","PR","-23.81244020","-50.30690880","IBAITI - S.JUDAS TADEU","POLO UAB - POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR A DISTANCIA DE IBAITI","RUA SÃO JUDAS TADEU","190","S.JUDAS TADEU","84900000","","AA"
"174","Nova Londrina","PR","-22.79564860","-52.98143830","NOVA LONDRINA - CENTRO","POLO UAB _ POLO MUNICIPAL DE APOIO PRESENCIAL DE NOVA LONDRINA EM EAD - UAB","PRAÇA DA MATRIZ","238","CENTRO","87970000","ESCOLA MUNIC ""ISOLDE JULIETA ANDREATTA - E. F. nº 241","AA"
"175","Nova Tebas","PR","-24.44872430","-51.95801640","NOVA TEBAS - CENTRO","POLO UAB EM NOVA TEBAS","Rua Alexandre Magno","783","centro","85250000","predio","AA"
"176","Paranaguá","PR","-25.54515220","-48.52717350","PARANAGUA - JARDIM GUARAITUBA","POLO UAB -  POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR A DISTANCIA DE PARANAGUA","RUA CAPIBARIBE","s/nº","JARDIM GUARAITUBA","83209230"," ESCOLA MUNICIPAL NASCIMENTO JUNIOR","AA"
"177","Paranavaí","PR","-23.07877170","-52.43802800","PARANAVAI - JARDIM SANTOS DUMOND","POLO UAB  DE PARANAVAI","RUA BARÃO DO CERRO AZUL","210","JARDIM SANTOS DUMOND","87706030"," ","AA"
"178","Pato Branco","PR","-26.22972020","-52.67113560","PATO BRANCO - BORTOT","POLO REGIONAL DE ENSINO SUPERIOR DE PATO BRANCO - UAB","VIA DO CONHECIMENTO -  PRT 493  KM 01","1200","BORTOT ","85503390","EM FRENTE UTFPR - CAIXA POSTAL 133 - SAIDA PARA BOM SUCESSO DO SUL","AA"
"179","Siqueira Campos","PR","-23.67365550","-49.79332790","SIQUEIRA CAMPOS - CENTRO","POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR DE SIQUEIRA CAMPOS - UAB","Rua Paraná","2095","Centro","84940000","","AA"
"180","Angra dos Reis","RJ","-22.99529960","-44.23816670","ANGRA DOS REIS - JACUECANGA","POLO UAB - ANGRA DOS REIS","Avenida dos Trabalhadores","179","Jacuecanga","23914360","","AA"
"181","Bom Jesus do Itabapoana","RJ","-21.13300590","-41.74073940","BOM JESUS DO ITABAPOANA - CENTRO","POLO UAB - BOM JESUS DO ITABAPOANA","AV ROBERTO SILVEIRA","578","CENTRO","28360000","Colégio Estadual Padre Melo","AA"
"182","Cantagalo","RJ","-21.88988020","-42.35448310","CANTAGALO - CENTRO","POLO UAB - CANTAGALO","Rua Chapot Prevost","157","Centro","28500000","","AA"
"184","Itaocara","RJ","-21.73190070","-42.05838860","ITAOCARA - CENTRO","POLO UAB - ITAOCARA","Rua Nilo Peçanha","471","Centro","28570000","","AA"
"185","Itaperuna","RJ","-21.18777470","-41.87994080","ITAPERUNA - PRESIDENTE COSTA E SILVA","POLO UAB - ITAPERUNA","Av. Zulamith Bittencourt - 3º pavimento","s/nº","Presidente Costa e Silva","28300000","CIEP LINA BOBARDI","AA"
"186","Macaé","RJ","-22.38367050","-41.78274610","MACAE - IMBOACICA","POLO UAB - MACAE","Rodovia Amaral Peixoto, km 164","s/n","Imboacica","27973030","Prédio do IFF - Campus Macaé","AA"
"187","Miguel Pereira","RJ","-22.48556990","-43.50156230","MIGUEL PEREIRA - GOVERNADOR PORTELA","POLO UAB - MIGUEL PEREIRA","Rua Luis Eugênio","61","Governador Portela","26910000","","AA"
"188","Natividade","RJ","-21.03462200","-41.93948920","NATIVIDADE - CENTRO","POLO UAB - NATIVIDADE","RUA VIGÁRIO JOÃO BATISTA","3","CENTRO","28380000","","AA"
"189","Nova Friburgo","RJ","-22.30908310","-42.54284560","NOVA FRIBURGO - OLARIA","POLO UAB - NOVA FRIBURGO","Av. José Pires Barroso","s/n","Olaria","28620000","CIEP 124 Licínio Teixeira","AA"
"190","Paracambi","RJ","-22.61730510","-43.69508040","PARACAMBI - FABRICA","POLO UAB - PARACAMBI","Rua Sebastião de Lacerda","s/n","Fábrica","26600000","","AA"
"191","Petrópolis","RJ","-22.53281210","-43.20769290","PETROPOLIS - QUITANDINHA","POLO UAB - PETROPOLIS","RUA DOMINGOS SILVERIO, s/n","","QUITANDINHA","25650050"," ","AA"
"192","Piraí","RJ","-22.60255800","-43.90551550","PIRAI - CENTRO","POLO UAB - PIRAI","RUA ROBERTO SILVEIRA","86","CENTRO","27175000"," ","AA"
"194","Resende","RJ","-22.47218760","-44.44832370","RESENDE - CENTRO","POLO UAB - RESENDE/RJ - PROF  WALDA VALKYRIA BRUNO","RUA PADRE MARQUES,","68","CENTRO","27511100"," 2º, 3º, 4 e 5º ANDAR","AA"
"195","Rio Bonito","RJ","-22.73739420","-42.59016720","RIO BONITO - PRACA DO CRUZEIRO","POLO UAB - RIO BONITO","BR 101 (SENTIDO RIO), KM 265","","PRAÇA DO CRUZEIRO","28800000"," Colégio Municipal Dr. Astério Alves de Mendonça","AA"
"196","Rio de Janeiro","RJ","-22.89876670","-43.57912110","RIO DE JANEIRO - CAMPO GRANDE","POLO UAB - CAMPO GRANDE","AV. MANUEL CALDEIRA DE ALVARENGA,","1203","CAMPO GRANDE","23070200"," 2º ANDAR","AA"
"197","Santa Maria Madalena","RJ","-21.96129810","-41.87994080","SANTA MARIA MADALENA - CENTRO","POLO UAB - SANTA MARIA MADALENA","Rua Honório Dubois s/n ","","Centro","28770000"," CIEP 273 - Prof. Graciano C.Filho","NA"
"198","São Fidélis","RJ","-21.67617720","-41.80044090","SAO FIDELIS - DIRLEY PERLINGEIRO DE ABREU","POLO UAB - SAO FIDELIS","Rua:Elysio da Costa Santos","s/nº","Dirley Perlingeiro de Abreu","28400000","CIEP","AA"
"199","São Francisco de Itabapoana","RJ","-21.40338450","-41.16025970","SAO FRANCISCO DE ITABAPOANA - CENTRO","POLO UAB - SAO FRANCISCO DE ITABAPOANA","Rua Antônio Pinheiro Filho","2","Centro","28230000","","AA"
"200","São Gonçalo","RJ","-22.83039940","-43.08542070","SAO GONCALO - GRADIM","POLO UAB - SAO GONCALO","Rua Visconde de Itauna s/n","s/nº","Gradim","24431005","CIEP 250 - Rosendo Rica Marcos","AA"
"202","São Pedro da Aldeia","RJ","-22.85248200","-42.05201660","SAO PEDRO DA ALDEIA - NOVA SAO PEDRO DA ALDEIA","POLO UAB - SAO PEDRO DA ALDEIA","Rua A ","s/n","Nova São Pedro da Aldeia","28940970","","AA"
"203","Saquarema","RJ","-22.87620880","-42.46685020","SAQUAREMA - RIO DE AREIA","POLO UAB - SAQUAREMA","RUA ANTONIO FERREIRA","110","Rio de Areia","28289000","2º Andar da Escola Municipal Edilson Vignoli Martins","AA"
"204","Três Rios","RJ","-22.12332150","-43.20631800","TRES RIOS - CENTRO","POLO UAB - TRES RIOS","RUA MARECHAL DEODORO","117","CENTRO","25802220","ESCOLA MUNICIPAL WALTER FRANKLIN","AA"
"205","Volta Redonda","RJ","-22.50456720","-44.09577200","VOLTA REDONDA - JARDIM PARAIBA","POLO UAB - VOLTA REDONDA","Rua 539","s/nº","Jardim Paraíba","27215500","Andar Inferior do Estadio Municipal Raulino de Oliveira","AA"
"207","Extremoz","RN","-5.67653990","-35.28076240","EXTREMOZ - CENTRO","POLO UNIVERSIDADE DE EXTREMOZ DARCY RIBEIRO - EXTREMOZ - UAB","RUA PROJETADA, LOTEAMENTO ÁUREA DE GÓIS","","CENTRO","59575000"," ","NA"
"208","Guamaré","RN","-5.18423110","-36.37147560","GUAMARE - CENTRO","POLO PRESENCIAL DE GUAMARE - RN","Rua, Monsenhor Jose Tibúrcio","S/N","Centro","59598000","","FR"
"209","Luís Gomes","RN","-6.37181560","-38.42188490","LUIS GOMES - CENTRO","POLO UNIVERSITARIO DE LUIS GOMES","AVENIDA SENHORA SANTANA","17","CENTRO","59940000"," no prédio do Colégio Municipal Padre Osvaldo","AA"
"210","Martins","RN","-6.06988170","-37.91487420","MARTINS - CENTRO","POLO UAB- MARTINS/RN","RUA DESEMBARGADOR HEMETÉRIO ","S/N","CENTRO","59800000","VIZINHO A CÂMARA MUNICIPAL","AA"
"211","Ariquemes","RO","-9.90772940","-63.03453790","ARIQUEMES - SETOR INSTITUCIONAL","CENTRO DE EDUCACAO A DISTANCIA DE ARIQUEMES - POLO DE APOIO PRESENCIAL UAB  ","AVENIDA TANCREDO NEVES","3450","SETOR INSTITUCIONAL","76872862","CAMPUS DE ARIQUEMES - UNIVERSIDADE FEDERAL DE RONDÔNIA","AA"
"212","Chupinguaia","RO","-12.62165160","-60.86093580","CHUPINGUAIA - CENTRO","POLO UAB - CHUPINGUAIA","RUA SILVANA GONÇALVES ","1492","CENTRO","76990000"," ","AA"
"213","Ji-Paraná","RO","-10.88054270","-61.96939700","JI-PARANA - JARDIM DOS MIGRANTES","POLO UAB - JI-PARANA","Rua Rio Amazonas","351","Jardim dos Migrantes","76900726","Edifício Universidade Federal de Rondônia","AA"
"214","Rolim de Moura","RO","-11.73753850","-61.79412320","ROLIM DE MOURA - CIDADE ALTA","CENTRO DE FORMACAO TECNOLOGICO DA ZONA DA MATA ANCILA ANA TONATTO - UAB","Av. Cecilia Meireles, esq. rua L","5656","Cidade Alta","76940000","","FR"
"215","Alto Alegre","RR","3.20281470","-63.39183470","ALTO ALEGRE - CENTRO","POLO UAB - ALTO ALEGRE","AV. 1 DE JULHO","N/nº","CENTRO","69350000","Estadio de Futebol","AA"
"216","Amajari","RR","3.74836140","-62.26266270","AMAJARI - CENTRO","POLO UAB - AMAJARI","AV. TEPEQUÉM","S/N","CENTRO","69343000","ESCOLA ESTADUAL OVÍDIO DIAS DE SOUZA","AA"
"217","Boa Vista","RR","2.80911380","-60.70009400","BOA VISTA - PRICUMA","POLO UAB - BOA VISTA","ALAMEDA DOS BAMBUS","525","PRICUMÃ","69309395","UNIVERSIDADE VIRTUAL DE RORAIMA","AA"
"218","Bonfim","RR","2.75618040","-60.11847970","BONFIM - CENTRO","UNIVIRR - BONFIM - UAB","RUA CASTRO ALVES ","","CENTRO","69380000","ESCOLA ESTADUAL ALDÉBARO JOSÉ ALCÂNTARA","AA"
"220","Caracaraí","RR","1.33916270","-61.70056500","CARACARAI - CENTRO","POLO UAB - CARACARAI","RUA JAPURA","S/N","Centro","69360000","","AA"
"221","Caroebe","RR","0.91016500","-59.28799770","CAROEBE - CENTRO","CM_CAROEBE (CENTRO MULTIMIDIA CAROEBE ) - UAB","AV. PAULINO GOMES DA COSTA","12","CENTRO","69378000"," Escola Estadual Dom Pedro I","AA"
"222","Iracema","RR","1.97005180","-62.35651560","IRACEMA - CENTRO","POLO UAB - IRACEMA","Avenida Isidorio Rodrigues","s/n","centro","69348000","","AA"
"225","Pacaraima","RR","4.20410870","-60.86093580","PACARAIMA - SUAPI","POLO UAB - PACARAIMA/RR","RUA 01","","SUAPI","69345000"," ","AA"
"226","Rorainópolis","RR","0.26190110","-60.95400730","RORAINOPOLIS - CENTRO","POLO UAB - RORAINOPOLIS","Av Senador Hélio Campos","s/n","centro","69373000","","AA"
"227","São João da Baliza","RR","0.58617630","-59.93347640","SAO JOAO DA BALIZA - CENTRO","POLO UAB/UNIVIRR - SAO JOAO DA BALIZA","Av. São Miguel","171","Centro","69375000","Escola Estadual Henrique Dias","FR"
"230","Agudo","RS","-29.62615480","-53.23959730","AGUDO - CENTRO","POLO DE APOIO PRESENCIAL AO ENSINO SUPERIOR DE AGUDO - UAB","Av.Borges de Medeiros","1194","Centro","96540000","","AA"
"231","Arroio dos Ratos","RS","-30.20041700","-51.74669480","ARROIO DOS RATOS - CENTRO","POLO UAB - ARROIO DOS RATOS","Av. João Pereira da Silva","1250","Centro","96740000","","FR"
"232","Balneário Pinhal","RS","-30.19979630","-50.27597110","BALNEARIO PINHAL - DISTRITO DE MAGISTERIO","POLO DE EDUCACAO SUPERIOR DO BALNEARIO PINHAL - UABBP","rua São Jerônimo","826","Distrito de Magistério","95599000","","AA"
"233","Cachoeira do Sul","RS","-30.03939230","-52.89860580","CACHOEIRA DO SUL - CENTRO","POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL E CASA DO PROFESSOR "VALE DO JACUI" DE CAC","RUA JULIO DE CASTILHO","342","CENTRO","96501000"," ","AA"
"234","Camargo","RS","-28.61581510","-52.21247130","CAMARGO - CENTRO","POLO DE APOIO PRESENCIAL - UAB CAMARGO/RS","Rua Padre Stripolli","459","Centro","99165000","","AA"
"235","Cerro Largo","RS","-28.14374640","-54.71923760","CERRO LARGO - CENTRO","POLO UAB - CERRO LARGO","Rua Major Antonio Cardoso","250","Centro","97900000","","FR"
"236","Constantina","RS","-27.73970300","-52.98143830","CONSTANTINA - CENTRO","POLO DE EDUCACAO SUPERIOR DE CONSTANTINA - PESCO - UAB","Avenida Amandio Araujo","1125","Centro","99680000","Escola","AA"
"237","Cruz Alta","RS","-28.64702570","-53.60515310","CRUZ ALTA - CENTRO","POLO UAB CRUZ ALTA - RS","RUA PINHEIRO MACHADO","911","CENTRO","98005000"," ","AA"
"238","Faxinal do Soturno","RS","-29.56139690","-53.41220520","FAXINAL DO SOTURNO - CENTRO","POLO DE APOIO PRESENCIAL FAXINAL DO SOTURNO","Rua Sete de Setembro","790","Centro","97220000","Fundos","AA"
"239","Herval","RS","-32.02421620","-53.47703590","HERVAL - CENTRO","POLO UNIVERSITARIO DE HERVAL","Rua José Maria D'Avila","336","Centro","96310000","","AA"
"240","Hulha Negra","RS","-31.40177510","-53.86718680","HULHA NEGRA - CENTRO","POLO DE APOIO PRESENCIAL DE HULHA NEGRA","AVENIDA GETULIO VARGAS","S/N","CENTRO","96460000","","AA"
"241","Itaqui","RS","-29.24299350","-56.47199280","ITAQUI - CENTRO","UAB - POLO UNIVERSITARIO DA FRONTEIRA OESTE","Euclides Aranha","1288","Centro","97650000","","AA"
"242","Jacuizinho","RS","-29.03750510","-53.02440180","JACUIZINHO - CENTRO","POLO UAB - JACUIZINHO","Rua Nelcindo Muratt","S/N","centro","99457000","Anexo a Escola Municipal Leonel de Moura Brizola","AA"
"244","Mostardas","RS","-30.92743900","-50.76244930","MOSTARDAS - VILA NORTE","POLO DE APOIO PRESENCIAL DE MOSTARDAS - UAB","AV. DR. DINARTE SILVEIRA MARTINS","330","VILA NORTE","96270000"," Escola Municipal Dr. Dinarte Silveira Martins","FR"
"245","Picada Café","RS","-29.45982150","-51.10628240","PICADA CAFE - CENTRO","POLO UNIVERSITARIO DE PICADA CAFE - UAB","RUA DAS AZALÉIAS","638","CENTRO","95175000"," ","AA"
"246","Quaraí","RS","-30.28585510","-56.11422530","QUARAI - CENTRO","POLO UAB - POLO DE APOIO PRESENCIAL PARA EDUCACAO A DISTANCIA DE QUARAI - UAB","Rua Duque de Caxias","1080","Centro","97560000","","AA"
"247","Restinga Seca","RS","-29.80057090","-53.34743040","RESTINGA SECA - CENTRO","POLO EDUCACIONAL SUPERIOR DE RESTINGA SECA - UAB","Rua José Celestino Alves","134","Centro","97200000","2º andar","AA"
"248","Santa Vitória do Palmar","RS","-33.09951330","-52.95996610","SANTA VITORIA DO PALMAR - CENTRO","POLO UNIVERSITARIO DE ENSINO EXTREMO MERIDIONAL - SANTA VITORIA DO PALMAR - UAB","SEDE: Rua Barão do Rio Claro, Anexo: Rua Campos Neutrais","sede: 760,","Centro","96230000","","AA"
"249","Santana da Boa Vista","RS","-30.85816500","-53.17497260","SANTANA DA BOA VISTA - NOSSA SENHORA DO ROSARIO","POLO MUNICIPAL DE SANTANA DA BOA VISTA - UAB","Rua Aparicio Freitas","405","Nossa Senhora do Rosário","96590000","","AA"
"250","Sant' Ana do Livramento","RS","-30.88790410","-55.53117890","SANT' ANA DO LIVRAMENTO - CENTRO","POLO DE APOIO PRESENCIAL MUNICIPAL SANT' ANA DO LIVRAMENTO - UAB","Rua Barão do Triunfo","1048","Centro","97573590","Prédio","AA"
